BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
10306514,Bombay Sweet Shop,9648,#_# Peri Peri Potato Salli - BSS,STRONG (shopify catalog),89,COMB-057,Peri Peri Potato Salli (225g)-Pack of 3,COMB-057,9648,,COMB-057=Peri Peri Potato Salli (225g)-Pack of 3 (89) | COMB-052=Peri Peri Potato Salli Mini (90g)-Pack of 3 (83) | BSS-1621=PERI PERI POTATO SALLI 90 GMS (RTS) (80),
10306740,Bombay Sweet Shop,10979,#_# Peri Peri Potato Salli Mini (90g) - BSS,STRONG (shopify catalog),100,COMB-052,Peri Peri Potato Salli Mini (90g)-Pack of 3,COMB-052,10979,,COMB-052=Peri Peri Potato Salli Mini (90g)-Pack of 3 (100) | BSS-1621=PERI PERI POTATO SALLI 90 GMS (RTS) (84) | COMB-057=Peri Peri Potato Salli (225g)-Pack of 3 (82),
21706660,Bombay Sweet Shop,19941,#_# Rasgulla Basundi - BSS,STRONG (shopify catalog),100,FRE-RAS-BA-001,Rasgulla Basundi,FRE-RAS-BA-001,19941,,BSS-3862=BASUNDI RASGULLA (100) | FRE-RAS-BA-001=Rasgulla Basundi (100) | BSS-3921=BASUNDI RASGULLA (RTS) - 2026 (78),
15959032,Bombay Sweet Shop,14983,#_# Roasted Makhana & Peanut Till Chikki - 100g - BSS,STRONG (shopify catalog),93,BSS-4408,Roasted Makhana & Peanut Chikki (100g)-Pack of 1,CHIK-MAK-100GM,14983,,BSS-4407=Roasted Makhana & Peanut Chikki (100g) (93) | CHIK-MAK-50GM=Roasted Makhana & Peanut Chikki (50g)-Pack of 1 (88) | BSS-1923=BOX - ROASTED MAKHANA & PEANUT CHIKKI 100GMS (86),
19389878,Bombay Sweet Shop,17814,#_# Small Coral Gift Bag - BSS,STRONG (shopify catalog),100,PKG-BAG-008,Small Coral Gift Bag,PKG-BAG-008,17814,,PKG-BAG-008=Small Coral Gift Bag (100) | BSS-0336=BAG - SMALL CORAL GIFT BAG (90) | PKG-BAG-005=Small Red Gift Bag (73),
10306535,Bombay Sweet Shop,9652,#_# Super Crunch Chikki (90g) - BSS,"STRONG (full catalog, no Shopify SKU)",100,CHIK-SC-90GM,Super Crunch Chikki (90g)-Pack of 1,,9652,,CHIK-SC-90GM=Super Crunch Chikki (90g)-Pack of 1 (100) | CHIK-SC-45GM=Super Crunch Chikki (45g)-Pack of 1 (91) | BSS-1502=SUPER CRUNCH CHIKKI (90),
10306542,Bombay Sweet Shop,9653,#_# Super Crunch Chikki Mini (45g) - BSS,"STRONG (full catalog, no Shopify SKU)",90,CHIK-SC-45GM,Super Crunch Chikki (45g)-Pack of 1,,9653,,CHIK-SC-45GM=Super Crunch Chikki (45g)-Pack of 1 (90) | CHIK-SC-90GM=Super Crunch Chikki (90g)-Pack of 1 (82) | BSS-1502=SUPER CRUNCH CHIKKI (80),
16364794,Bombay Sweet Shop,15379,#_# Sweet Shop Kesar Rasmalai (2pcs) - BSS,"STRONG (full catalog, no Shopify SKU)",90,FRE-RM-KES-2PCS-001,Sweet Shop Kesar Rasmalai,,15379,,Sweet Shop Kesar Rasmalai=Sweet Shop Kesar Rasmalai (90) | FRE-RM-KES-2PCS-001=Sweet Shop Kesar Rasmalai-2 Pcs (88) | FRE-RM-KES-5PCS-001=Sweet Shop Kesar Rasmalai-5 Pcs (85),
19863985,Bombay Sweet Shop,18416,#_# Tom Yum Makhana Mix - BSS,"STRONG (full catalog, no Shopify SKU)",100,BSS-3184,TOM YUM MAKHANA MIX,,18416,,BSS-3184=TOM YUM MAKHANA MIX (100) | COMB-098=Tom Yum Makhana Mix (60g)-Pack of 3 (90) | BSS-3287=TOM YUM MAKHANA MIX 60 GM (RTS) (79),
10306528,Bombay Sweet Shop,9651,#_# Bombay Bhel Chikki Mini (45g) - BSS,REVIEW (shopify catalog) + size?,81,CHIK-BB-45GM,Bombay Bhel Chikki (90g)-Pack of 1,CHIK-BB-90GM,9651,g: HK=[45] vs ERP=[90],BSS-1521=BOMBAY BHEL CHIKKI MINI 45G ( RTS) (93) | Bombay Bhel Chikki (45g)=Bombay Bhel Chikki (45g) (89) | BSS-4410=Bombay Bhel Chikki (90g) (81),
